"cell_id","surface_id","row_id","capability_id","gates","evidence_requirement","provider_support","provider_evidence","hulee_implementation","automated_evidence","live_evidence","limitation_ids","condition","backlog_tasks","last_verified"
"max_user_session.account::account.connector_defaults","max_user_session.account","RUN-CONNECTOR-DEFAULTS","account.connector_defaults","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-CATALOG-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Display/auth/egress defaults exist; their coarse capability booleans are explicitly non-authoritative.","INB2-DMX-001|INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.connector_scalar_soft_status","telegram_user_session.account","RUN-CONNECTOR-SCALAR-STATUS","account.connector_scalar_soft_status","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Connector/SourceConnection scalar state changes exist; direct session/binding lifecycle does not.","INB2-DMX-004|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.connector_scalar_soft_status","whatsapp_user_session.account","RUN-CONNECTOR-SCALAR-STATUS","account.connector_scalar_soft_status","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Connector/SourceConnection scalar state changes exist; direct session/binding lifecycle does not.","INB2-DMX-004|INB2-WA-001","2026-07-10"
"max_user_session.account::account.connector_scalar_soft_status","max_user_session.account","RUN-CONNECTOR-SCALAR-STATUS","account.connector_scalar_soft_status","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Connector/SourceConnection scalar state changes exist; direct session/binding lifecycle does not.","INB2-DMX-004|INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.session_binding_lifecycle","telegram_user_session.account","RUN-CONNECTOR-LIFECYCLE","account.session_binding_lifecycle","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Disable/delete do not transition direct ChannelSession and SourceAccount; enable returns to onboarding.","INB2-DMX-004|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.session_binding_lifecycle","whatsapp_user_session.account","RUN-CONNECTOR-LIFECYCLE","account.session_binding_lifecycle","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Disable/delete do not transition direct ChannelSession and SourceAccount; enable returns to onboarding.","INB2-DMX-004|INB2-WA-001","2026-07-10"
"max_user_session.account::account.session_binding_lifecycle","max_user_session.account","RUN-CONNECTOR-LIFECYCLE","account.session_binding_lifecycle","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Disable/delete do not transition direct ChannelSession and SourceAccount; enable returns to onboarding.","INB2-DMX-004|INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.authenticate_primary_session","telegram_user_session.account","RUN-AUTH","account.authenticate_primary_session","G2/G4/G7","auto+live","unknown","missing","present","AUTO-TG-AUTH-001","missing","LIM-PROVIDER-LEGAL-001","Covers QR/phone/code/pairing paths only; secondary-password coverage is a separate row.","INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.authenticate_primary_session","whatsapp_user_session.account","RUN-AUTH","account.authenticate_primary_session","G2/G4/G7","auto+live","unknown","missing","present","AUTO-WA-AUTH-001","missing","LIM-PROVIDER-LEGAL-001","Covers QR/phone/code/pairing paths only; secondary-password coverage is a separate row.","INB2-WA-001","2026-07-10"
"max_user_session.account::account.authenticate_primary_session","max_user_session.account","RUN-AUTH","account.authenticate_primary_session","G2/G4/G7","auto+live","unknown","missing","present","AUTO-MAX-AUTH-001","missing","LIM-PROVIDER-LEGAL-001","Covers QR/phone/code/pairing paths only; secondary-password coverage is a separate row.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.authenticate_secondary_password","telegram_user_session.account","RUN-AUTH-PASSWORD","account.authenticate_secondary_password","G2/G4/G7","auto+live","unknown","missing","present","AUTO-TG-AUTH-001","missing","LIM-PROVIDER-LEGAL-001","Telegram 2FA is tested; MAX password is implemented without an exact assertion; WhatsApp is N/A.","INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.authenticate_secondary_password","whatsapp_user_session.account","RUN-AUTH-PASSWORD","account.authenticate_secondary_password","G2/G4/G7","auto","not_applicable","not_required(surface_not_applicable)","not_applicable","not_required(surface_not_applicable)","not_required(surface_not_applicable)","LIM-SURFACE-APPLICABILITY-001","Telegram 2FA is tested; MAX password is implemented without an exact assertion; WhatsApp is N/A.","INB2-DMX-001","2026-07-10"
"max_user_session.account::account.authenticate_secondary_password","max_user_session.account","RUN-AUTH-PASSWORD","account.authenticate_secondary_password","G2/G4/G7","auto+live","unknown","missing","present","missing","missing","LIM-PROVIDER-LEGAL-001","Telegram 2FA is tested; MAX password is implemented without an exact assertion; WhatsApp is N/A.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.detect_reauth","telegram_user_session.account","RUN-REAUTH-DETECT","account.detect_reauth","G2/G4/G7","auto+live","unknown","missing","present","AUTO-TG-PROBE-001","missing","LIM-PROVIDER-LEGAL-001","Detection exists; long-running message-runtime recovery does not.","INB2-DMX-004|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.detect_reauth","whatsapp_user_session.account","RUN-REAUTH-DETECT","account.detect_reauth","G2/G4/G7","auto+live","unknown","missing","present","AUTO-WA-PROBE-001","missing","LIM-PROVIDER-LEGAL-001","Detection exists; long-running message-runtime recovery does not.","INB2-DMX-004|INB2-WA-001","2026-07-10"
"max_user_session.account::account.detect_reauth","max_user_session.account","RUN-REAUTH-DETECT","account.detect_reauth","G2/G4/G7","auto+live","unknown","missing","present","AUTO-MAX-PROBE-001","missing","LIM-PROVIDER-LEGAL-001","Detection exists; long-running message-runtime recovery does not.","INB2-DMX-004|INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.provider_logout_revoke","telegram_user_session.account","RUN-PROVIDER-REVOKE","account.provider_logout_revoke","G2/G4/G7","auto+live","unknown","missing","absent","missing","missing","LIM-PROVIDER-LEGAL-001","Do not infer provider-side revoke from connector deletion.","INB2-DMX-004|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.provider_logout_revoke","whatsapp_user_session.account","RUN-PROVIDER-REVOKE","account.provider_logout_revoke","G2/G4/G7","auto+live","unknown","missing","absent","missing","missing","LIM-PROVIDER-LEGAL-001","Do not infer provider-side revoke from connector deletion.","INB2-DMX-004|INB2-WA-001","2026-07-10"
"max_user_session.account::account.provider_logout_revoke","max_user_session.account","RUN-PROVIDER-REVOKE","account.provider_logout_revoke","G2/G4/G7","auto+live","unknown","missing","absent","missing","missing","LIM-PROVIDER-LEGAL-001","Do not infer provider-side revoke from connector deletion.","INB2-DMX-004|INB2-MAX-001","2026-07-10"
"telegram_user_session.account::runtime.auth_probe_composition","telegram_user_session.account","RUN-AUTH-MONITOR-WORKER","runtime.auth_probe_composition","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code composition runs auth sweep and periodic probes; factory/feature-flag wiring lacks an exact test.","INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::runtime.auth_probe_composition","whatsapp_user_session.account","RUN-AUTH-MONITOR-WORKER","runtime.auth_probe_composition","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code composition runs auth sweep and periodic probes; factory/feature-flag wiring lacks an exact test.","INB2-WA-001","2026-07-10"
"max_user_session.account::runtime.auth_probe_composition","max_user_session.account","RUN-AUTH-MONITOR-WORKER","runtime.auth_probe_composition","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code composition runs auth sweep and periodic probes; factory/feature-flag wiring lacks an exact test.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::runtime.message_listener_dispatcher","telegram_user_session.account","RUN-MESSAGE-RUNTIME","runtime.message_listener_dispatcher","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Telegram Bot listener/dispatcher is not Telegram direct evidence.","INB2-TG-002|INB2-TG-003","2026-07-10"
"whatsapp_user_session.account::runtime.message_listener_dispatcher","whatsapp_user_session.account","RUN-MESSAGE-RUNTIME","runtime.message_listener_dispatcher","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Telegram Bot listener/dispatcher is not Telegram direct evidence.","INB2-WA-001","2026-07-10"
"max_user_session.account::runtime.message_listener_dispatcher","max_user_session.account","RUN-MESSAGE-RUNTIME","runtime.message_listener_dispatcher","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Telegram Bot listener/dispatcher is not Telegram direct evidence.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::runtime.source_account_sync","telegram_user_session.account","RUN-SOURCE-SYNC","runtime.source_account_sync","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-MONITOR-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Shared code exists; MAX lacks exact integration evidence and account anchor still includes connector ID.","INB2-DMX-001|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::runtime.source_account_sync","whatsapp_user_session.account","RUN-SOURCE-SYNC","runtime.source_account_sync","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-AUTH-SWEEP-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Shared code exists; MAX lacks exact integration evidence and account anchor still includes connector ID.","INB2-DMX-001|INB2-WA-001","2026-07-10"
"max_user_session.account::runtime.source_account_sync","max_user_session.account","RUN-SOURCE-SYNC","runtime.source_account_sync","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Shared code exists; MAX lacks exact integration evidence and account anchor still includes connector ID.","INB2-DMX-001|INB2-MAX-001","2026-07-10"
"telegram_user_session.account::runtime.binding_capability_profile","telegram_user_session.account","RUN-CAPABILITY-TRUTH","runtime.binding_capability_profile","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-CAPABILITY-V1-001|LIM-PLATFORM-OWNED-001","One broad profile incorrectly claims history/files/threads/reactions/read/delivery for all three.","INB2-DMX-001","2026-07-10"
"whatsapp_user_session.account::runtime.binding_capability_profile","whatsapp_user_session.account","RUN-CAPABILITY-TRUTH","runtime.binding_capability_profile","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-CAPABILITY-V1-001|LIM-PLATFORM-OWNED-001","One broad profile incorrectly claims history/files/threads/reactions/read/delivery for all three.","INB2-DMX-001","2026-07-10"
"max_user_session.account::runtime.binding_capability_profile","max_user_session.account","RUN-CAPABILITY-TRUTH","runtime.binding_capability_profile","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-CAPABILITY-V1-001|LIM-PLATFORM-OWNED-001","One broad profile incorrectly claims history/files/threads/reactions/read/delivery for all three.","INB2-DMX-001","2026-07-10"
"telegram_user_session.account::health.session_probe","telegram_user_session.account","RUN-SESSION-HEALTH","health.session_probe","G2/G4/G7","auto+live","unknown","missing","present","AUTO-TG-PROBE-001","missing","LIM-PROVIDER-LEGAL-001","Proves session health only, not listener freshness or message delivery.","INB2-DMX-004|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::health.session_probe","whatsapp_user_session.account","RUN-SESSION-HEALTH","health.session_probe","G2/G4/G7","auto+live","unknown","missing","present","AUTO-WA-PROBE-001","missing","LIM-PROVIDER-LEGAL-001","Proves session health only, not listener freshness or message delivery.","INB2-DMX-004|INB2-WA-001","2026-07-10"
"max_user_session.account::health.session_probe","max_user_session.account","RUN-SESSION-HEALTH","health.session_probe","G2/G4/G7","auto+live","unknown","missing","present","AUTO-MAX-PROBE-001","missing","LIM-PROVIDER-LEGAL-001","Proves session health only, not listener freshness or message delivery.","INB2-DMX-004|INB2-MAX-001","2026-07-10"
"telegram_user_session.account::health.auth_probe_diagnostics","telegram_user_session.account","RUN-DIAGNOSTICS-AUTH","health.auth_probe_diagnostics","G2/G4/G6/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Raw provider errors are currently not redacted; see HEALTH-ERROR-REDACTION.","INB2-DMX-004|INB2-OPS-002","2026-07-10"
"whatsapp_user_session.account::health.auth_probe_diagnostics","whatsapp_user_session.account","RUN-DIAGNOSTICS-AUTH","health.auth_probe_diagnostics","G2/G4/G6/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Raw provider errors are currently not redacted; see HEALTH-ERROR-REDACTION.","INB2-DMX-004|INB2-OPS-002","2026-07-10"
"max_user_session.account::health.auth_probe_diagnostics","max_user_session.account","RUN-DIAGNOSTICS-AUTH","health.auth_probe_diagnostics","G2/G4/G6/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Raw provider errors are currently not redacted; see HEALTH-ERROR-REDACTION.","INB2-DMX-004|INB2-OPS-002","2026-07-10"
"telegram_user_session.account::health.message_activity_diagnostics","telegram_user_session.account","RUN-DIAGNOSTICS-MESSAGE","health.message_activity_diagnostics","G4/G6/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Fields exist, but direct transports never update last inbound/outbound activity.","INB2-DMX-004|INB2-OPS-002|INB2-SRC-008","2026-07-10"
"whatsapp_user_session.account::health.message_activity_diagnostics","whatsapp_user_session.account","RUN-DIAGNOSTICS-MESSAGE","health.message_activity_diagnostics","G4/G6/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Fields exist, but direct transports never update last inbound/outbound activity.","INB2-DMX-004|INB2-OPS-002|INB2-SRC-008","2026-07-10"
"max_user_session.account::health.message_activity_diagnostics","max_user_session.account","RUN-DIAGNOSTICS-MESSAGE","health.message_activity_diagnostics","G4/G6/G7","auto","not_applicable","not_required(platform_owned)","absent","missing","not_required(auto_only)","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Fields exist, but direct transports never update last inbound/outbound activity.","INB2-DMX-004|INB2-OPS-002|INB2-SRC-008","2026-07-10"
"telegram_user_session.account::account.secret_session_protection","telegram_user_session.account","RUN-SECRETS","account.secret_session_protection","G2/G4/G6/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-TG-AUTH-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Proves encrypted session/non-exposure, not error or message-payload redaction; G6 review remains.","INB2-OPS-005|INB2-OPS-009|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.secret_session_protection","whatsapp_user_session.account","RUN-SECRETS","account.secret_session_protection","G2/G4/G6/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-WA-AUTH-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Proves encrypted session/non-exposure, not error or message-payload redaction; G6 review remains.","INB2-OPS-005|INB2-OPS-009|INB2-WA-001","2026-07-10"
"max_user_session.account::account.secret_session_protection","max_user_session.account","RUN-SECRETS","account.secret_session_protection","G2/G4/G6/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-MAX-AUTH-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Proves encrypted session/non-exposure, not error or message-payload redaction; G6 review remains.","INB2-MAX-001|INB2-OPS-005|INB2-OPS-009","2026-07-10"
"telegram_user_session.account::deployment.egress_namespace_and_probe","telegram_user_session.account","RUN-EGRESS-NAMESPACE","deployment.egress_namespace_and_probe","G2/G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","present","missing","missing","LIM-PLATFORM-OWNED-001","Provider worker namespace and monitor exist, but this does not prove policy enforcement per provider call.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"whatsapp_user_session.account::deployment.egress_namespace_and_probe","whatsapp_user_session.account","RUN-EGRESS-NAMESPACE","deployment.egress_namespace_and_probe","G2/G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","present","missing","missing","LIM-PLATFORM-OWNED-001","Provider worker namespace and monitor exist, but this does not prove policy enforcement per provider call.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"max_user_session.account::deployment.egress_namespace_and_probe","max_user_session.account","RUN-EGRESS-NAMESPACE","deployment.egress_namespace_and_probe","G2/G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","present","missing","missing","LIM-PLATFORM-OWNED-001","Provider worker namespace and monitor exist, but this does not prove policy enforcement per provider call.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"telegram_user_session.account::runtime.direct_provider_policy_fence","telegram_user_session.account","RUN-EGRESS","runtime.direct_provider_policy_fence","G2/G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-PLATFORM-OWNED-001","Direct auth/probes construct provider clients directly and bypass the policy-aware egress runtime.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"whatsapp_user_session.account::runtime.direct_provider_policy_fence","whatsapp_user_session.account","RUN-EGRESS","runtime.direct_provider_policy_fence","G2/G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-PLATFORM-OWNED-001","Direct auth/probes construct provider clients directly and bypass the policy-aware egress runtime.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"max_user_session.account::runtime.direct_provider_policy_fence","max_user_session.account","RUN-EGRESS","runtime.direct_provider_policy_fence","G2/G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-PLATFORM-OWNED-001","Direct auth/probes construct provider clients directly and bypass the policy-aware egress runtime.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"telegram_user_session.account::runtime.direct_message_egress","telegram_user_session.account","RUN-MESSAGE-EGRESS","runtime.direct_message_egress","G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-PLATFORM-OWNED-001","No direct message runtime exists, so message-stage egress and policy enforcement are absent.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"whatsapp_user_session.account::runtime.direct_message_egress","whatsapp_user_session.account","RUN-MESSAGE-EGRESS","runtime.direct_message_egress","G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-PLATFORM-OWNED-001","No direct message runtime exists, so message-stage egress and policy enforcement are absent.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"max_user_session.account::runtime.direct_message_egress","max_user_session.account","RUN-MESSAGE-EGRESS","runtime.direct_message_egress","G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-PLATFORM-OWNED-001","No direct message runtime exists, so message-stage egress and policy enforcement are absent.","INB2-DMX-004|INB2-OPS-009","2026-07-10"
"telegram_user_session.account::health.account_failure_isolation","telegram_user_session.account","RUN-FAILURE-ISOLATION","health.account_failure_isolation","G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Bounded auth/probe concurrency does not prove message ingestion/dispatch isolation.","INB2-ACC-025|INB2-DMX-004|INB2-OPS-004","2026-07-10"
"whatsapp_user_session.account::health.account_failure_isolation","whatsapp_user_session.account","RUN-FAILURE-ISOLATION","health.account_failure_isolation","G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Bounded auth/probe concurrency does not prove message ingestion/dispatch isolation.","INB2-ACC-025|INB2-DMX-004|INB2-OPS-004","2026-07-10"
"max_user_session.account::health.account_failure_isolation","max_user_session.account","RUN-FAILURE-ISOLATION","health.account_failure_isolation","G4/G6/G7","auto+live","not_applicable","not_required(platform_owned)","absent","missing","missing","LIM-HEALTH-SCOPE-001|LIM-PLATFORM-OWNED-001","Bounded auth/probe concurrency does not prove message ingestion/dispatch isolation.","INB2-ACC-025|INB2-DMX-004|INB2-OPS-004","2026-07-10"
"telegram_user_session.private_peer::thread.private_exact_identity","telegram_user_session.private_peer","THREAD-PRIVATE-EXACT","thread.private_exact_identity","TG:G2; all:G4/G7","auto+live","unknown","missing","absent","missing","missing","LIM-PROVIDER-LEGAL-001","Private peers stay account-scoped; Client/sender/title is never a thread key.","INB2-DMX-001|INB2-SRC-005|INB2-TG-002|INB2-TG-004","2026-07-10"
"telegram_user_session.group::thread.private_exact_identity","telegram_user_session.group","THREAD-PRIVATE-EXACT","thread.private_exact_identity","TG:G2; all:G4/G7","auto","not_applicable","not_required(surface_not_applicable)","not_applicable","not_required(surface_not_applicable)","not_required(surface_not_applicable)","LIM-SURFACE-APPLICABILITY-001","Private peers stay account-scoped; Client/sender/title is never a thread key.","INB2-DMX-001|INB2-SRC-005|INB2-TG-003|INB2-TG-004","2026-07-10"
"whatsapp_user_session.private_jid::thread.private_exact_identity","whatsapp_user_session.private_jid","THREAD-PRIVATE-EXACT","thread.private_exact_identity","TG:G2; all:G4/G7","auto+live","unknown","missing","absent","missing","missing","LIM-PROVIDER-LEGAL-001","Private peers stay account-scoped; Client/sender/title is never a thread key.","INB2-DMX-001|INB2-SRC-005|INB2-WA-001","2026-07-10"
"whatsapp_user_session.group_jid::thread.private_exact_identity","whatsapp_user_session.group_jid","THREAD-PRIVATE-EXACT","thread.private_exact_identity","TG:G2; all:G4/G7","auto","not_applicable","not_required(surface_not_applicable)","not_applicable","not_required(surface_not_applicable)","not_required(surface_not_applicable)","LIM-SURFACE-APPLICABILITY-001","Private peers stay account-scoped; Client/sender/title is never a thread key.","INB2-DMX-001|INB2-SRC-005|INB2-WA-001","2026-07-10"
"max_user_session.private_peer::thread.private_exact_identity","max_user_session.private_peer","THREAD-PRIVATE-EXACT","thread.private_exact_identity","TG:G2; all:G4/G7","auto+live","unknown","missing","absent","missing","missing","LIM-PROVIDER-LEGAL-001","Private peers stay account-scoped; Client/sender/title is never a thread key.","INB2-DMX-001|INB2-MAX-001|INB2-SRC-005","2026-07-10"
